id_nota,id_estudiante,id_materia,periodo,nota1,nota2,nota3,fecha_registro,observacion
1,1,1,2024-1,1.2,2.8,1.5,2024-03-06,Ipsa eveniet veniam voluptatibus eligendi.
2,1,2,2024-1,4.3,3.5,4.4,2024-02-02,Sin observacion
3,1,3,2024-1,3.6,4.1,4.9,2024-01-17,Minus omnis quibusdam commodi iste nulla eos.
4,1,4,2024-1,2.1,3.5,2.5,2024-02-08,Sin observacion
5,1,5,2024-1,3.8,3.7,1.3,2024-02-01,Expedita voluptas dolor omnis fuga.
6,1,6,2024-1,1.7,2.5,5.0,2024-01-30,Alias numquam repellat veniam.
7,1,7,2024-1,2.3,4.1,1.2,2024-02-27,Libero dolorum earum autem aperiam quidem.
8,1,8,2024-1,2.1,1.8,4.8,2024-02-09,Nulla qui perferendis ex esse esse quisquam.
9,2,1,2024-1,3.0,4.5,3.6,2024-02-25,Sin observacion
10,2,2,2024-1,3.2,2.1,3.3,2024-03-02,Itaque cum quasi pariatur.
11,2,3,2024-1,5.0,1.6,3.0,2024-01-29,Hic dicta quam maiores consequatur provident quo nam.
12,2,4,2024-1,3.5,4.2,2.7,2024-01-24,Sin observacion
13,2,5,2024-1,3.1,4.9,4.4,2024-02-13,Sin observacion
14,2,6,2024-1,4.5,4.0,4.1,2024-02-27,Sin observacion
15,2,7,2024-1,2.8,4.8,4.5,2024-01-25,Sin observacion
16,2,8,2024-1,3.0,1.4,3.5,2024-01-26,Odio autem eaque voluptatem voluptas soluta maxime sapiente.
17,3,1,2024-1,1.6,4.1,3.2,2024-01-27,Voluptates veniam voluptates accusantium.
18,3,2,2024-1,3.4,3.0,1.4,2024-01-15,Sin observacion
19,3,4,2024-1,1.2,4.5,4.8,2024-01-30,Sin observacion
20,3,5,2024-1,4.9,3.1,1.5,2024-01-19,Quod veritatis similique omnis iste explicabo adipisci.
21,3,6,2024-1,2.1,4.5,2.7,2024-01-25,Sin observacion
22,3,7,2024-1,3.8,3.9,2.6,2024-03-01,Ipsa quos delectus molestias qui eius fugit.
23,3,8,2024-1,3.1,1.5,1.9,2024-03-12,Sin observacion
24,4,1,2024-1,3.4,1.0,3.8,2024-01-29,Sin observacion
25,4,2,2024-1,4.4,1.3,2.0,2024-01-17,Ut laboriosam ratione assumenda.
26,4,3,2024-1,3.9,4.5,3.3,2024-01-23,Sin observacion
27,4,4,2024-1,1.8,1.4,2.7,2024-02-10,Sin observacion
28,4,5,2024-1,1.2,3.6,3.6,2024-03-01,Sin observacion
29,4,6,2024-1,4.4,2.0,1.8,2024-03-06,Sin observacion
30,4,7,2024-1,2.9,4.5,1.3,2024-02-01,Autem praesentium tempore perferendis porro quibusdam.
31,4,8,2024-1,1.2,5.0,4.3,2024-01-21,Quam cum quaerat.
32,5,1,2024-1,1.9,2.6,2.9,2024-03-09,Facere nobis voluptatibus eos maiores facere earum.
33,5,2,2024-1,2.5,4.9,2.1,2024-01-25,In cupiditate ipsum molestiae nostrum esse.
34,5,3,2024-1,3.8,3.9,4.1,2024-02-11,Eaque dolorum repudiandae asperiores.
35,5,4,2024-1,2.2,4.9,3.3,2024-01-27,Sin observacion
36,5,5,2024-1,1.2,2.9,4.7,2024-01-18,Sin observacion
37,5,6,2024-1,1.3,1.7,3.4,2024-02-16,Hic et voluptates temporibus deserunt corporis veritatis non.
38,5,7,2024-1,4.8,3.3,3.3,2024-01-22,Sin observacion
39,5,8,2024-1,3.3,3.1,4.7,2024-02-26,Sin observacion
40,6,1,2024-1,2.1,1.5,3.6,2024-01-30,Sin observacion
41,6,2,2024-1,1.3,2.8,5.0,2024-03-14,Blanditiis suscipit ipsam sequi.
42,6,3,2024-1,3.0,1.5,2.4,2024-01-28,Sin observacion
43,6,4,2024-1,1.6,4.3,3.8,2024-02-02,Quis in soluta vitae magni provident error numquam.
44,6,6,2024-1,3.7,3.2,4.7,2024-01-15,Sin observacion
45,6,7,2024-1,1.5,1.4,3.2,2024-01-31,Sin observacion
46,6,8,2024-1,2.4,3.7,4.4,2024-02-29,Sin observacion
47,7,1,2024-1,4.4,1.4,2.7,2024-03-13,Sin observacion
48,7,2,2024-1,1.5,4.9,1.6,2024-03-04,Sin observacion
49,7,3,2024-1,1.0,1.3,4.5,2024-02-19,Corporis quam aliquam quibusdam quasi iusto ipsa quam.
50,7,4,2024-1,2.5,3.2,2.7,2024-03-08,Sin observacion
51,7,5,2024-1,4.2,4.4,4.6,2024-03-14,Sin observacion
52,7,6,2024-1,2.4,3.2,4.5,2024-01-21,Soluta porro sint.
53,7,7,2024-1,4.7,4.5,4.9,2024-03-14,Ipsam itaque vel.
54,7,8,2024-1,1.7,4.7,4.1,2024-01-16,Sin observacion
55,8,1,2024-1,4.2,2.1,4.1,2024-03-02,Sin observacion
56,8,2,2024-1,2.9,1.8,4.7,2024-03-09,Sin observacion
57,8,3,2024-1,1.9,1.1,1.8,2024-03-10,Sin observacion
58,8,4,2024-1,2.1,3.6,2.6,2024-03-04,Magnam exercitationem aperiam consequuntur sed.
59,8,5,2024-1,1.1,4.5,2.0,2024-03-15,Sin observacion
60,8,7,2024-1,2.7,3.9,2.3,2024-02-22,Ipsum veritatis natus eum.
61,8,8,2024-1,4.6,1.8,1.2,2024-02-08,Sin observacion
