id_nota,id_estudiante,id_materia,periodo,nota1,nota2,nota3,fecha_registro,observacion
1,1,1,2024-1,1.2,2.8,1.5,2024-03-06,Neque architecto maiores magnam.
2,1,2,2024-1,4.3,3.5,4.4,2024-02-02,
3,1,3,2024-1,3.6,4.1,4.9,2024-01-17,Eius officia fugiat molestias.
4,1,4,2024-1,2.1,3.5,2.5,2024-02-08,
5,1,5,2024-1,3.8,3.7,1.3,2024-02-01,Modi soluta delectus quae tempore consectetur ratione.
6,1,6,2024-1,1.7,2.5,5.0,2024-01-30,Expedita nulla tempore vero labore placeat.
7,1,7,2024-1,2.3,4.1,1.2,2024-02-27,Exercitationem voluptatum neque odit fugit excepturi.
8,1,8,2024-1,2.1,1.8,4.8,2024-02-09,Voluptas quaerat quos perferendis eaque.
9,2,1,2024-1,3.0,4.5,3.6,2024-02-25,
10,2,2,2024-1,3.2,2.1,3.3,2024-03-02,Distinctio perferendis modi eligendi aut.
11,2,3,2024-1,5.0,1.6,3.0,2024-01-29,Repellendus iste nostrum.
12,2,4,2024-1,3.5,4.2,2.7,2024-01-24,
13,2,5,2024-1,3.1,4.9,4.4,2024-02-13,
14,2,6,2024-1,4.5,4.0,4.1,2024-02-27,
15,2,7,2024-1,2.8,4.8,4.5,2024-01-25,
16,2,8,2024-1,3.0,1.4,3.5,2024-01-26,Minus fuga molestiae laboriosam veniam culpa.
17,3,1,2024-1,1.6,4.1,3.2,2024-01-27,Nulla nesciunt illo aliquam.
18,3,2,2024-1,3.4,3.0,1.4,2024-01-15,
19,3,4,2024-1,1.2,4.5,4.8,2024-01-30,
20,3,5,2024-1,4.9,3.1,1.5,2024-01-19,In nisi architecto officiis nostrum vero.
21,3,6,2024-1,2.1,4.5,2.7,2024-01-25,
22,3,7,2024-1,3.8,3.9,2.6,2024-03-01,Fuga veritatis nesciunt dolorum similique vero nesciunt.
23,3,8,2024-1,3.1,1.5,1.9,2024-03-12,
24,4,1,2024-1,3.4,1.0,3.8,2024-01-29,
25,4,2,2024-1,4.4,1.3,2.0,2024-01-17,Ratione placeat possimus quo corrupti vel cupiditate.
26,4,3,2024-1,3.9,4.5,3.3,2024-01-23,
27,4,4,2024-1,1.8,1.4,2.7,2024-02-10,
28,4,5,2024-1,1.2,3.6,3.6,2024-03-01,
29,4,6,2024-1,4.4,2.0,1.8,2024-03-06,
30,4,7,2024-1,2.9,4.5,1.3,2024-02-01,Iste totam reprehenderit.
31,4,8,2024-1,1.2,5.0,4.3,2024-01-21,Consequatur quibusdam et tempore ipsam labore distinctio.
32,5,1,2024-1,1.9,2.6,2.9,2024-03-09,Omnis ducimus neque cumque.
